Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Apr,1906,fatal,QLD,lizard island,-14.66666667,145.45,island open ocean,tiger shark,,unprovoked,swimming,,arm,male,,
Aug,1906,fatal,QLD,"torres strait, mabuiag island ",-9.95,142.1666667,island open ocean,tiger shark,,provoked,snorkelling,,"arm, shoulder, torso",male,,
Dec,1906,uninjured,NSW,batemans bay,-35.7,150.1833333,coastal,wobbegong,,unprovoked,motorised boating,,other: uninjured,male,,
Feb,1907,fatal,QLD,"townsville, ross creek",-19.25,146.8166667,estuary/harbour,bull shark,3.2,unprovoked,swimming,,,male,,
Aug,1907,injured,WA,"geraldton, murray island - off geraldton",-28.85,113.9,island open ocean,tiger shark,,provoked,snorkelling,,leg,male,,
Oct,1907,injured,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,white shark,1.8,unprovoked,swimming,,"torso, shoulder",male,26,
Dec,1907,fatal,NSW,"middle harbour, sugarloaf bay, sydney",-33.78333333,151.2333333,estuary/harbour,bull shark,,unprovoked,swimming,,torso,male,,
Jan,1909,injured,NSW,"brisbane waters, woy woy",-33.48333333,151.3,estuary/harbour,bull shark,,unprovoked,swimming,,,male,,
Jan,1910,fatal,NSW,newcastle harbour,-32.9,151.7666667,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,16,
Feb,1910,injured,WA,bunbury ,-33.31666667,115.6166667,coastal,white shark,1.8,unprovoked,swimming,,"shoulder, torso, leg",male,,
Mar,1910,uninjured,WA,cape leeuwin,-34.36666667,115.1166667,coastal,,,unprovoked,swimming,,other: uninjured,male,,
Nov,1910,injured,QLD,mackay (9 miles away),-21.16666667,149.2333333,island open ocean,,3,unprovoked,swimming,,foot,male,,
Feb,1911,uninjured,WA,legendre island,-20.38333333,116.8666667,coastal,tiger shark,,unprovoked,swimming,,other: uninjured,male,,
Mar,1911,fatal,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,unprovoked,swimming,,"torso, thigh",male,16,
Oct,1911,injured,QLD,cooktown (gbr),-15.48333333,145.4,island open ocean,tiger shark,,provoked,snorkelling,,leg,male,23,
Jan,1912,injured,NSW,sydney (near),-33.83333333,151.1666667,coastal,dusky shark,,unprovoked,swimming,,"leg, pelvic region",male,,
Jan,1912,fatal,NSW,"lane cove river, figtree, sydney",-33.81666667,151.15,river,bull shark,3,unprovoked,swimming,,thigh,male,,
Jan,1912,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,,
Feb,1912,uninjured,WA,bunbury harbour,-33.31666667,115.6333333,coastal,wobbegong,,provoked,diving,,other: uninjured,male,,
Feb,1912,injured,SA,carpenters rocks,-37.58333333,140.3333333,coastal,white shark,2.4,provoked,fishing,,"arm, hand",male,,
Feb,1912,injured,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,white shark,,unprovoked,swimming,,"calf, foot",male,,
Nov,1912,injured,QLD,"moreton bay, sandgate, scroncliffe pier",-27.31666667,153.05,coastal,tiger shark,2.7,unprovoked,swimming,,leg,male,35,
Mar,1913,injured,QLD,"torres strait, thursday/york island",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,in front,head,male,,
May,1913,injured,NSW,"yamba, clarence river",-29.4,153.3333333,river,bull shark,,provoked,fishing,,leg,male,,
Jun,1913,injured,QLD,"badu island, torres strait",-10.2,142.15,island open ocean,,,provoked,swimming,,head,male,,
Nov,1913,injured,QLD,"moreton bay, sandgate, scroncliffe pier",-27.31666667,153.05,coastal,tiger shark,2.5,unprovoked,swimming,,leg,male,13,
Dec,1913,injured,SA,port noarlunga,-35.05,138.45,coastal,white shark,,unprovoked,swimming,,leg,male,,
Jan,1914,uninjured,NSW,"five dock bay, drummoyne",-33.85,151.15,estuary/harbour,bull shark,,unprovoked,unmotorised boating,,other: uninjured,male,,
Jan,1914,injured,QLD,"moreton bay, sandgate beach",-27.31666667,153.05,coastal,wobbegong,1.7,unprovoked,swimming,,leg,female,,
Feb,1914,injured,NSW,"parramatta river, sydney harbour",-33.83333333,151.0666667,river,bull shark,,unprovoked,unmotorised boating,,torso,male,23,
Feb,1914,injured,SA,"marion bay, yorke peninsula",-35.23333333,136.9666667,coastal,wobbegong,,provoked,spearfishing,,foot,male,,
Apr,1914,injured,NSW,"maclean river, lawrence",-29.43333333,153.1833333,river,bull shark,,provoked,fishing,,foot,male,,
Jun,1914,fatal,VIC,"port phillip bay, sandringham beach",-37.95,145,coastal,white shark,,unprovoked,swimming,,other: body not recovered,male,,
Dec,1914,injured,QLD,"magnetic island, picnic bay wharf",-19.16666667,146.8333333,Coastal,,,unprovoked,swimming,,thigh,male,,
Dec,1914,injured,WA,"cottesloe beach, perth",-31.98333333,115.7333333,coastal,wobbegong,0.8,provoked,,,calf,male,,
Jan,1915,fatal,NSW,"sirius cove, sydney harbour",-33.83333333,151.2333333,estuary/harbour,bull shark,,unprovoked,swimming,,thigh,male,,
Feb,1915,injured,QLD,moreton bay,-27.26666667,153.2166667,coastal,wobbegong,,unprovoked,unmotorised boating,,foot,male,,
Nov,1915,injured,NSW,"manly, north steyne, sydney",-33.78333333,151.2833333,coastal,whaler shark,,unprovoked,swimming,,"leg, foot",male,,
Nov,1915,injured,QLD,"moreton bay, cabbage tree creek",-27.31666667,153.0666667,estuary/harbour,bull shark,,unprovoked,swimming,,"arm, torso",male,8,
Feb,1916,uninjured,TAS,burnie,-41.05,145.75,coastal,wobbegong,1.5,provoked,diving,,other: uninjured,male,,
Mar,1916,injured,NSW,curl curl beach,-33.76666667,151.2833333,coastal,white shark,,unprovoked,swimming,,leg,male,,
Nov,1916,fatal,QLD,"townsville, kissing point",-19.23333333,146.8,coastal,tiger shark,,unprovoked,swimming,,,male,27,
